,calculate_eigenvector_centrality
Michael Terrazas,5.237926196791769e-06
Estela Morris,5.237926196791769e-06
Terrance Keith,5.237926196791769e-06
James Norman,5.237926196791769e-06
Timothy Redden,5.237926196791769e-06
Mike Castleberry,5.237926196791769e-06
Charles Mccullough,5.237926196791769e-06
Claudette Savini,5.237926196791769e-06
Buddy Silvey,5.237926196791769e-06
John Lahti,5.237926196791769e-06
Michael Lanza,5.237926196791769e-06
Patrick Halvorson,5.237926196791769e-06
Annie Farr,5.237926196791769e-06
Rodney Mccall,0.20412414474470336
Jackie Eisner,5.237926196791769e-06
Shirley Tatsch,5.237926196791769e-06
Felecia Chueng,5.237926196791769e-06
Elvira Bailey,5.237926196791769e-06
Kari Brown,5.237926196791769e-06
Darrin Melton,5.237926196791769e-06
Danny Tyler,5.237926196791769e-06
Erica Williams,5.237926196791769e-06
Ernesto Kassler,0.20412414474470336
Angie Rogers,5.237926196791769e-06
Linda Quince,5.237926196791769e-06
Carlton Wimberly,5.237926196791769e-06
Jenna Goodwin,5.237926196791769e-06
Mark Reed,5.237926196791769e-06
Patricia Mason,5.237926196791769e-06
Robin Charley,5.237926196791769e-06
Debra Callaway,5.237926196791769e-06
Shirley Kruger,5.237926196791769e-06
Lois Mcgowan,5.237926196791769e-06
Cynthia Sandoval,5.237926196791769e-06
Rosalie Weinzierl,5.237926196791769e-06
Christine Mansfield,5.237926196791769e-06
Adam Dube,5.237926196791769e-06
Norman Clough,5.237926196791769e-06
Victoria Mathis,5.237926196791769e-06
Sarah Valley,5.237926196791769e-06
Rachel Moore,5.237926196791769e-06
Jonathan Heller,5.237926196791769e-06
Mary Winter,5.237926196791769e-06
